Date,XAUUSD,DXY,XAGUSD,Gold_Silver_Ratio,GLD,GDX,VIX,GVZ_GoldVol,DGS1,DGS2,DGS5,DGS10,DGS30,DFII5_Real5Y,DFII10_Real10Y,T10YIE_BE10Y,T5YIE_BE5Y,T10Y2Y,T10Y3M,DFF_EffFF,FF_Upper,SOFR,USD_Broad_TW,USD_AFE_TW,EURUSD,USDCNY,USDJPY,SP500,WTI_FRED,XAU_Miners,EPU_US,HY_OAS,RRP
2022-09-19,1666.2,109.74,19.273,86.453,155.96,24.42,25.76,18.37,4.05,3.95,3.69,3.49,3.52,1.25,1.15,2.34,2.44,-0.46,0.12,2.33,2.5,2.27,125.01,120.47,1.0003,7.005,143.34,3899.9,86.15,102.42,65.09,,2217.5
2022-09-20,1659.7,110.22,19.102,86.886,155.07,23.75,27.16,18.59,4.03,3.96,3.75,3.57,3.59,1.27,1.17,2.4,2.48,-0.39,0.22,2.33,2.5,2.26,125.12,120.65,0.9994,7.0176,143.64,3855.9,84.69,99.72,78.61,,2238.9
2022-09-21,1664.6,110.64,19.411,85.755,155.79,23.83,27.99,18.48,4.08,4.02,3.74,3.51,3.5,1.27,1.13,2.38,2.47,-0.51,0.2,2.33,2.5,2.25,125.74,121.55,0.988,7.0479,144.14,3789.9,83.38,99.53,70.88,,2315.9
2022-09-22,1670.8,111.35,19.548,85.472,155.7,23.74,27.35,17.93,4.08,4.11,3.91,3.7,3.65,1.46,1.29,2.41,2.45,-0.41,0.41,3.08,3.25,2.99,126.17,122.03,0.9841,7.0772,142.16,3758,84.02,99.03,139.2,,2359.2
2022-09-23,1645.3,113.19,18.841,87.326,153.01,22.44,29.92,19.42,4.15,4.2,3.96,3.69,3.61,1.58,1.32,2.37,2.38,-0.51,0.45,3.08,3.25,2.99,127.28,123.42,0.9719,7.1266,143.18,3693.2,79.07,93.81,133.87,,2319.4
2022-09-26,1623.3,114.1,18.406,88.194,151.23,21.86,32.26,20.26,4.17,4.27,4.15,3.88,3.72,1.82,1.56,2.32,2.33,-0.39,0.49,3.08,3.25,2.99,128.45,124.85,0.9623,7.1384,144.45,3655,77.17,91.4,85.96,,2299
2022-09-27,1626.7,114.11,18.257,89.1,151.54,22,32.6,19.26,4.16,4.3,4.21,3.97,3.87,1.86,1.64,2.33,2.35,-0.33,0.62,3.08,3.25,2.98,128.44,124.83,0.9616,7.176,144.71,3647.3,78.91,92.06,194.98,,2327.1
2022-09-28,1660.4,112.6,18.796,88.338,154.69,23.58,30.18,19.27,3.99,4.07,3.92,3.72,3.7,1.55,1.39,2.33,2.37,-0.35,0.32,3.08,3.25,2.98,128.09,123.95,0.9681,7.199,144.15,3719,82.61,98.17,155.79,,2366.8
2022-09-29,1658.5,112.25,18.611,89.114,154.66,23.69,31.84,19.78,3.98,4.16,3.98,3.76,3.71,1.8,1.57,2.19,2.18,-0.4,0.4,3.08,3.25,2.96,127.54,123.42,0.9774,7.1196,144.45,3640.5,81.78,99.35,93.12,,2371.8
2022-09-30,1662.4,112.12,18.96,87.679,154.67,24.12,31.62,19.52,4.05,4.22,4.06,3.83,3.79,1.92,1.68,2.15,2.14,-0.39,0.5,3.08,3.25,2.98,127.52,123.48,0.9783,7.1135,144.71,3585.6,79.91,100.91,192.84,,2425.9
